META,session=session-01,warmups=20,repeats=200,order=alternating,consumer_verifier=true
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,197,1141682
VERIFY_SWEEP,session-01,admission,expiry-none,source,197,1510848
VERIFY_SWEEP,session-01,admission,expiry-none,source,198,1544682
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,198,1145990
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,199,1106546
VERIFY_SWEEP,session-01,admission,expiry-none,source,199,1459992
VERIFY_SWEEP,session-01,admission,expiry-timed,source,0,1461835
VERIFY_SWEEP,session-01,admission,expiry-timed,optimized,0,1140590
VERIFY_SWEEP,session-01,admission,expiry-timed,optimized,1,1125753
VERIFY_SWEEP,session-01,admission,expiry-timed,source,1,1479379
